"","Species","a","b"
"624","Anolis cyanostictus",-4.574,2.942
"625","Anolis cybotes",-4.574,2.942
"626","Anolis cymbops",-4.574,2.942
"627","Anolis damulus",-4.574,2.942
"628","Anolis danieli",-4.574,2.942
"629","Anolis darlingtoni",-4.574,2.942
"630","Anolis datzorum",-4.574,2.942
"631","Anolis delafuentei",-4.574,2.942
"632","Anolis deltae",-4.574,2.942
"633","Anolis demissus",-4.574,2.942
"634","Anolis desechensis",-4.574,2.942
"635","Anolis desiradei",-4.574,2.942
"636","Anolis dissimilis",-4.574,2.942
"637","Anolis distichus",-4.574,2.942
"638","Anolis divius",-4.574,2.942
"639","Anolis dolichocephalus",-4.574,2.942
"640","Anolis dollfusianus",-4.574,2.942
"641","Anolis dominicensis",-4.574,2.942
"642","Anolis duellmani",-4.574,2.942
"643","Anolis dunni",-4.574,2.942
"644","Anolis eladioi",-4.574,2.942
"645","Anolis elcopeensis",-4.574,2.942
"646","Anolis equestris",-4.574,2.942
"647","Anolis ernestwilliamsi",-4.574,2.942
"648","Anolis etheridgei",-4.574,2.942
"649","Anolis eugenegrahami",-4.574,2.942
"650","Anolis eulaemus",-4.574,2.942
"651","Anolis euskalerriari",-4.574,2.942
"652","Anolis evermanni",-4.574,2.942
"653","Anolis extremus",-4.574,2.942
"654","Anolis fairchildi",-4.574,2.942
"655","Anolis fasciatus",-4.574,2.942
"656","Anolis favillarum",-4.574,2.942
"657","Anolis ferreus",-4.574,2.942
"658","Anolis festae",-4.574,2.942
"659","Anolis fitchi",-4.574,2.942
"660","Anolis forresti",-4.574,2.942
"661","Anolis fortunensis",-4.574,2.942
"662","Anolis fowleri",-4.574,2.942
"663","Anolis fraseri",-4.574,2.942
"664","Anolis frenatus",-4.574,2.942
"665","Anolis fugitivus",-4.574,2.942
"666","Anolis fungosus",-4.574,2.942
"667","Anolis fuscoauratus",-4.574,2.942
"668","Anolis gadovii",-4.574,2.942
"669","Anolis gaigei",-4.574,2.942
"670","Anolis garmani",-4.574,2.942
"671","Anolis garridoi",-4.574,2.942
"672","Anolis gemmosus",-4.574,2.942
"673","Anolis gibbiceps",-4.574,2.942
"674","Anolis ginaelisae",-4.574,2.942
"675","Anolis gingivinus",-4.574,2.942
"676","Anolis gonavensis",-4.574,2.942
"677","Anolis gorgonae",-4.574,2.942
"678","Anolis gracilipes",-4.574,2.942
"679","Anolis grahami",-4.574,2.942
"680","Anolis granuliceps",-4.574,2.942
"681","Anolis griseus",-4.574,2.942
"682","Anolis gruuo",-4.574,2.942
"683","Anolis guafe",-4.574,2.942
"684","Anolis guamuhaya",-4.574,2.942
"685","Anolis guazuma",-4.574,2.942
"686","Anolis gundlachi",-4.574,2.942
"687","Anolis haetianus",-4.574,2.942
"688","Anolis haguei",-4.574,2.942
"689","Anolis hendersoni",-4.574,2.942
"690","Anolis heterodermus",-4.574,2.942
"691","Anolis heteropholidotus",-4.574,2.942
"692","Anolis hobartsmithi",-4.574,2.942
"693","Anolis homolechis",-4.574,2.942
"694","Anolis huilae",-4.574,2.942
"695","Anolis humilis",-4.574,2.942
"696","Anolis hyacinthogularis",-4.574,2.942
"697","Anolis ibague",-4.574,2.942
"698","Anolis ibanezi",-4.574,2.942
"699","Anolis ignigularis",-4.574,2.942
"700","Anolis imias",-4.574,2.942
"701","Anolis immaculogularis",-4.574,2.942
"702","Anolis impetigosus",-4.574,2.942
"703","Anolis incredulus",-4.574,2.942
"704","Anolis inderenae",-4.574,2.942
"705","Anolis inexpectatus",-4.574,2.942
"706","Anolis insignis",-4.574,2.942
"707","Anolis insolitus",-4.574,2.942
"708","Anolis isolepis",-4.574,2.942
"709","Anolis jacare",-4.574,2.942
"710","Anolis johnmeyeri",-4.574,2.942
"711","Anolis juangundlachi",-4.574,2.942
"712","Anolis jubar",-4.574,2.942
"713","Anolis kahouannensis",-4.574,2.942
"714","Anolis kathydayae",-4.574,2.942
"715","Anolis kemptoni",-4.574,2.942
"716","Anolis koopmani",-4.574,2.942
"717","Anolis kreutzi",-4.574,2.942
"718","Anolis krugi",-4.574,2.942
"719","Anolis kunayalae",-4.574,2.942
"720","Anolis laevis",-4.574,2.942
"721","Anolis laeviventris",-4.574,2.942
"722","Anolis lamari",-4.574,2.942
"723","Anolis landestoyi",-4.574,2.942
"724","Anolis latifrons",-4.574,2.942
"725","Anolis leachii",-4.574,2.942
"726","Anolis leditzigorum",-4.574,2.942
"727","Anolis lemniscatus",-4.574,2.942
"728","Anolis lemurinus",-4.574,2.942
"729","Anolis leucodera",-4.574,2.942
"730","Anolis limifrons",-4.574,2.942
"731","Anolis limon",-4.574,2.942
"732","Anolis lineatopus",-4.574,2.942
"733","Anolis lineatus",-4.574,2.942
"734","Anolis liogaster",-4.574,2.942
"735","Anolis lionotus",-4.574,2.942
"736","Anolis litoralis",-4.574,2.942
"737","Anolis lividus",-4.574,2.942
"738","Anolis longiceps",-4.574,2.942
"739","Anolis longitibialis",-4.574,2.942
"740","Anolis lososi",-4.574,2.942
"741","Anolis loveridgei",-4.574,2.942
"742","Anolis loysiana",-4.574,2.942
"743","Anolis luciae",-4.574,2.942
"744","Anolis lucius",-4.574,2.942
"745","Anolis luteogularis",-4.574,2.942
"746","Anolis luteosignifer",-4.574,2.942
"747","Anolis lynchi",-4.574,2.942
"748","Anolis lyra",-4.574,2.942
"749","Anolis macilentus",-4.574,2.942
"750","Anolis macrinii",-4.574,2.942
"751","Anolis macrolepis",-4.574,2.942
"752","Anolis macrophallus",-4.574,2.942
"753","Anolis maculigula",-4.574,2.942
"754","Anolis maculiventris",-4.574,2.942
"755","Anolis magnaphallus",-4.574,2.942
"756","Anolis maia",-4.574,2.942
"757","Anolis marcanoi",-4.574,2.942
"758","Anolis mariarum",-4.574,2.942
"759","Anolis marmoratus",-4.574,2.942
"760","Anolis marron",-4.574,2.942
"761","Anolis marsupialis",-4.574,2.942
"762","Anolis matudai",-4.574,2.942
"763","Anolis maynardi",-4.574,2.942
"764","Anolis mccraniei",-4.574,2.942
"765","Anolis medemi",-4.574,2.942
"766","Anolis megalopithecus",-4.574,2.942
"767","Anolis megapholidotus",-4.574,2.942
"768","Anolis menta",-4.574,2.942
"769","Anolis meridionalis",-4.574,2.942
"770","Anolis mestrei",-4.574,2.942
"771","Anolis microlepidotus",-4.574,2.942
"772","Anolis microlepis",-4.574,2.942
"773","Anolis microtus",-4.574,2.942
"774","Anolis milleri",-4.574,2.942
"775","Anolis mirus",-4.574,2.942
"776","Anolis monensis",-4.574,2.942
"777","Anolis monteverde",-4.574,2.942
"778","Anolis monticola",-4.574,2.942
"779","Anolis morazani",-4.574,2.942
"780","Anolis muralla",-4.574,2.942
"781","Anolis nasofrontalis",-4.574,2.942
"782","Anolis naufragus",-4.574,2.942
"783","Anolis neblininus",-4.574,2.942
"784","Anolis nebuloides",-4.574,2.942
"785","Anolis nebulosus",-4.574,2.942
"786","Anolis nelsoni",-4.574,2.942
"787","Anolis nicefori",-4.574,2.942
"788","Anolis nietoi",-4.574,2.942
"789","Anolis nigrolineatus",-4.574,2.942
"790","Anolis noblei",-4.574,2.942
"791","Anolis notopholis",-4.574,2.942
"792","Anolis nubilus",-4.574,2.942
"793","Anolis occultus",-4.574,2.942
"794","Anolis ocelloscapularis",-4.574,2.942
"795","Anolis oculatus",-4.574,2.942
"796","Anolis oligaspis",-4.574,2.942
"797","Anolis olssoni",-4.574,2.942
"798","Anolis omiltemanus",-4.574,2.942
"799","Anolis onca",-4.574,2.942
"800","Anolis opalinus",-4.574,2.942
"801","Anolis ophiolepis",-4.574,2.942
"802","Anolis oporinus",-4.574,2.942
"803","Anolis orcesi",-4.574,2.942
"804","Anolis ortonii",-4.574,2.942
"805","Anolis osa",-4.574,2.942
"806","Anolis otongae",-4.574,2.942
"807","Anolis oxylophus",-4.574,2.942
"808","Anolis pachypus",-4.574,2.942
"809","Anolis paravertebralis",-4.574,2.942
"810","Anolis parilis",-4.574,2.942
"811","Anolis parvauritus",-4.574,2.942
"812","Anolis parvicirculatus",-4.574,2.942
"813","Anolis paternus",-4.574,2.942
"814","Anolis pecuarius",-4.574,2.942
"815","Anolis pentaprion",-4.574,2.942
"816","Anolis peraccae",-4.574,2.942
"817","Anolis peruensis",-4.574,2.942
"818","Anolis petersii",-4.574,2.942
"819","Anolis peucephilus",-4.574,2.942
"820","Anolis peynadoi",-4.574,2.942
"821","Anolis phyllorhinus",-4.574,2.942
"822","Anolis pigmaequestris",-4.574,2.942
"823","Anolis pijolense",-4.574,2.942
"824","Anolis pinchoti",-4.574,2.942
"825","Anolis placidus",-4.574,2.942
"826","Anolis planiceps",-4.574,2.942
"827","Anolis podocarpus",-4.574,2.942
"828","Anolis poecilopus",-4.574,2.942
"829","Anolis poei",-4.574,2.942
"830","Anolis pogus",-4.574,2.942
"831","Anolis polylepis",-4.574,2.942
"832","Anolis poncensis",-4.574,2.942
"833","Anolis porcatus",-4.574,2.942
"834","Anolis porcus",-4.574,2.942
"835","Anolis prasinorius",-4.574,2.942
"836","Anolis princeps",-4.574,2.942
"837","Anolis proboscis",-4.574,2.942
"838","Anolis properus",-4.574,2.942
"839","Anolis propinquus",-4.574,2.942
"840","Anolis pseudokemptoni",-4.574,2.942
"841","Anolis pseudopachypus",-4.574,2.942
"842","Anolis pseudotigrinus",-4.574,2.942
"843","Anolis pulchellus",-4.574,2.942
"844","Anolis pumilus",-4.574,2.942
"845","Anolis punctatus",-4.574,2.942
"846","Anolis purpurescens",-4.574,2.942
"847","Anolis purpurgularis",-4.574,2.942
"848","Anolis purpuronectes",-4.574,2.942
"849","Anolis pygmaeus",-4.574,2.942
"850","Anolis quadriocellifer",-4.574,2.942
"851","Anolis quaggulus",-4.574,2.942
"852","Anolis quercorum",-4.574,2.942
"853","Anolis ravitergum",-4.574,2.942
"854","Anolis reconditus",-4.574,2.942
"855","Anolis rejectus",-4.574,2.942
"856","Anolis richardii",-4.574,2.942
"857","Anolis ricordii",-4.574,2.942
"858","Anolis rimarum",-4.574,2.942
"859","Anolis rivalis",-4.574,2.942
"860","Anolis roatanensis",-4.574,2.942
"861","Anolis rodriguezii",-4.574,2.942
"862","Anolis roosevelti",-4.574,2.942
"863","Anolis roquet",-4.574,2.942
"864","Anolis rubiginosus",-4.574,2.942
"865","Anolis rubribarbaris",-4.574,2.942
"866","Anolis rubribarbus",-4.574,2.942
"867","Anolis ruibali",-4.574,2.942
"868","Anolis ruizii",-4.574,2.942
"869","Anolis rupinae",-4.574,2.942
"870","Anolis sabanus",-4.574,2.942
"871","Anolis sacamecatensis",-4.574,2.942
"872","Anolis sagrei",-4.574,2.942
"873","Anolis salvini",-4.574,2.942
"874","Anolis santamartae",-4.574,2.942
"875","Anolis savagei",-4.574,2.942
"876","Anolis scapularis",-4.574,2.942
"877","Anolis schiedii",-4.574,2.942
"878","Anolis schwartzi",-4.574,2.942
"879","Anolis scriptus",-4.574,2.942
"880","Anolis scypheus",-4.574,2.942
"881","Anolis semilineatus",-4.574,2.942
"882","Anolis sericeus",-4.574,2.942
"883","Anolis serranoi",-4.574,2.942
"884","Anolis sheplani",-4.574,2.942
"885","Anolis shrevei",-4.574,2.942
"886","Anolis sierramaestrae",-4.574,2.942
"887","Anolis singularis",-4.574,2.942
"888","Anolis smallwoodi",-4.574,2.942
"889","Anolis smaragdinus",-4.574,2.942
"890","Anolis sminthus",-4.574,2.942
"891","Anolis soinii",-4.574,2.942
"892","Anolis solitarius",-4.574,2.942
"893","Anolis spectrum",-4.574,2.942
"894","Anolis spilorhipis",-4.574,2.942
"895","Anolis squamulatus",-4.574,2.942
"896","Anolis stevepoei",-4.574,2.942
"897","Anolis strahmi",-4.574,2.942
"898","Anolis stratulus",-4.574,2.942
"899","Anolis subocularis",-4.574,2.942
"900","Anolis sulcifrons",-4.574,2.942
"901","Anolis tandai",-4.574,2.942
"902","Anolis taylori",-4.574,2.942
"903","Anolis tenorioensis",-4.574,2.942
"904","Anolis terraealtae",-4.574,2.942
"905","Anolis terueli",-4.574,2.942
"906","Anolis tetarii",-4.574,2.942
"907","Anolis tigrinus",-4.574,2.942
"908","Anolis toldo",-4.574,2.942
"909","Anolis tolimensis",-4.574,2.942
"910","Anolis townsendi",-4.574,2.942
"911","Anolis trachyderma",-4.574,2.942
"912","Anolis transversalis",-4.574,2.942
"913","Anolis trinitatis",-4.574,2.942
"914","Anolis triumphalis",-4.574,2.942
"915","Anolis tropidogaster",-4.574,2.942
"916","Anolis tropidolepis",-4.574,2.942
"917","Anolis tropidonotus",-4.574,2.942
"918","Anolis umbrivagus",-4.574,2.942
"919","Anolis uniformis",-4.574,2.942
"920","Anolis unilobatus",-4.574,2.942
"921","Anolis urraoi",-4.574,2.942
"922","Anolis ustus",-4.574,2.942
"923","Anolis utilensis",-4.574,2.942
"924","Anolis valencienni",-4.574,2.942
"925","Anolis vanidicus",-4.574,2.942
"926","Anolis vanzolinii",-4.574,2.942
"927","Anolis vaupesianus",-4.574,2.942
"928","Anolis ventrimaculatus",-4.574,2.942
"929","Anolis vermiculatus",-4.574,2.942
"930","Anolis vescus",-4.574,2.942
"931","Anolis vicarius",-4.574,2.942
"932","Anolis villai",-4.574,2.942
"933","Anolis vinosus",-4.574,2.942
"934","Anolis viridius",-4.574,2.942
"935","Anolis vittigerus",-4.574,2.942
"936","Anolis wampuensis",-4.574,2.942
"937","Anolis wattsii",-4.574,2.942
"938","Anolis websteri",-4.574,2.942
"939","Anolis wellbornae",-4.574,2.942
"940","Anolis wermuthi",-4.574,2.942
"941","Anolis whitemani",-4.574,2.942
"942","Anolis williamsmittermeierorum",-4.574,2.942
"943","Anolis wilsoni",-4.574,2.942
"944","Anolis woodi",-4.574,2.942
"945","Anolis yoroensis",-4.574,2.942
"946","Anolis zapotecorum",-4.574,2.942
"947","Anolis zeus",-4.574,2.942
"948","Anomalopus brevicollis",-4.207,2.3
"949","Anomalopus gowi",-4.207,2.3
"950","Anomalopus leuckartii",-4.207,2.471
"951","Anomalopus mackayi",-4.207,2.471
"952","Anomalopus pluto",-4.207,2.3
"953","Anomalopus swansoni",-4.207,2.3
"954","Anomalopus verreauxii",-4.207,2.471
"955","Anotosaura collaris",-5.178,3.302
"956","Anotosaura vanzolinia",-5.178,3.302
"957","Apathya cappadocica",-4.543,2.951
"958","Apathya yassujica",-4.543,2.951
"959","Aphaniotis acutirostris",-4.686,3.105
"960","Aphaniotis fusca",-4.686,3.105
"961","Aphaniotis ornata",-4.686,3.105
"962","Aprasia aurita",-2.039,1.371
"963","Aprasia clairae",-2.039,1.371
"964","Aprasia haroldi",-2.039,1.371
"965","Aprasia inaurita",-2.039,1.371
"966","Aprasia litorea",-2.039,1.371
"967","Aprasia parapulchella",-2.039,1.371
"968","Aprasia picturata",-2.039,1.371
"969","Aprasia pseudopulchella",-2.039,1.371
"970","Aprasia pulchella",-2.039,1.371
"971","Aprasia repens",-2.039,1.371
"972","Aprasia rostrata",-2.039,1.371
"973","Aprasia smithi",-2.039,1.371
"974","Aprasia striolata",-2.039,1.371
"975","Aprasia wicherina",-2.039,1.371
"976","Archaeolacerta bedriagae",-4.543,2.951
"977","Archaius tigris",-3.997,2.68
"978","Aristelliger barbouri",-4.558,2.97
"979","Aristelliger cochranae",-4.558,2.97
"980","Aristelliger expectatus",-4.558,2.97
"981","Aristelliger georgeensis",-4.558,2.97
"982","Aristelliger hechti",-4.558,2.97
"983","Aristelliger lar",-4.558,2.97
"984","Aristelliger praesignis",-4.558,2.97
"985","Aristelliger reyesi",-4.558,2.97
"986","Arthrosaura kockii",-5.178,3.302
"987","Arthrosaura montigena",-5.178,3.302
"988","Arthrosaura reticulata",-5.178,3.302
"989","Arthrosaura synaptolepis",-5.178,3.302
"990","Arthrosaura testigensis",-5.178,3.302
"991","Arthrosaura tyleri",-5.178,3.302
"992","Arthrosaura versteegii",-5.178,3.302
"993","Asaccus andersoni",-4.482,2.945
"994","Asaccus arnoldi",-4.482,2.945
"995","Asaccus barani",-4.482,2.945
"996","Asaccus caudivolvulus",-4.482,2.945
"997","Asaccus elisae",-4.482,2.945
"998","Asaccus gallagheri",-4.482,2.945
"999","Asaccus gardneri",-4.482,2.945
"1000","Asaccus granularis",-4.482,2.945
"1001","Asaccus griseonotus",-4.482,2.945
"1002","Asaccus iranicus",-4.482,2.945
"1003","Asaccus kermanshahensis",-4.482,2.945
"1004","Asaccus kurdistanensis",-4.482,2.945
"1005","Asaccus margaritae",-4.482,2.945
"1006","Asaccus montanus",-4.482,2.945
"1007","Asaccus nasrullahi",-4.482,2.945
"1008","Asaccus platyrhynchus",-4.482,2.945
"1009","Asaccus saffinae",-4.482,2.945
"1010","Asaccus tangestanensis",-4.482,2.945
"1011","Asaccus zagrosicus",-4.482,2.945
"1012","Aspidoscelis angusticeps",-4.747,3.11
"1013","Aspidoscelis burti",-4.747,3.11
"1014","Aspidoscelis calidipes",-4.747,3.11
"1015","Aspidoscelis carmenensis",-4.747,3.11
"1016","Aspidoscelis ceralbensis",-4.747,3.11
"1017","Aspidoscelis communis",-4.747,3.11
"1018","Aspidoscelis costatus",-4.747,3.11
"1019","Aspidoscelis cozumelus",-4.747,3.11
"1020","Aspidoscelis danheimae",-4.747,3.11
"1021","Aspidoscelis deppii",-4.747,3.11
"1022","Aspidoscelis espiritensis",-4.747,3.11
"1023","Aspidoscelis exsanguis",-4.747,3.11
"1024","Aspidoscelis flagellicaudus",-4.747,3.11
"1025","Aspidoscelis franciscensis",-4.747,3.11
"1026","Aspidoscelis gularis",-4.747,3.11
"1027","Aspidoscelis guttatus",-4.747,3.11
"1028","Aspidoscelis hyperythrus",-4.747,3.11
"1029","Aspidoscelis inornatus",-4.747,3.11
"1030","Aspidoscelis labialis",-4.747,3.11
"1031","Aspidoscelis laredoensis",-4.747,3.11
"1032","Aspidoscelis lineattissimus",-4.747,3.11
"1033","Aspidoscelis marmoratus",-4.747,3.11
"1034","Aspidoscelis martyris",-4.747,3.11
"1035","Aspidoscelis maslini",-4.747,3.11
"1036","Aspidoscelis maximus",-4.747,3.11
"1037","Aspidoscelis mexicanus",-4.747,3.11
"1038","Aspidoscelis motaguae",-4.747,3.11
"1039","Aspidoscelis neomexicanus",-4.747,3.11
"1040","Aspidoscelis neotesselatus",-4.747,3.11
"1041","Aspidoscelis opatae",-4.747,3.11
"1042","Aspidoscelis pai",-4.747,3.11
"1043","Aspidoscelis parvisocius",-4.747,3.11
"1044","Aspidoscelis pictus",-4.747,3.11
"1045","Aspidoscelis rodecki",-4.747,3.11
"1046","Aspidoscelis sackii",-4.747,3.11
"1047","Aspidoscelis scalaris",-4.747,3.11
"1048","Aspidoscelis sexlineatus",-4.747,3.11
"1049","Aspidoscelis sonorae",-4.747,3.11
"1050","Aspidoscelis stictogrammus",-4.747,3.11
"1051","Aspidoscelis tesselatus",-4.747,3.11
"1052","Aspidoscelis tigris",-4.747,3.11
"1053","Aspidoscelis uniparens",-4.747,3.11
"1054","Aspidoscelis velox",-4.747,3.11
"1055","Aspidoscelis xanthonotus",-4.747,3.11
"1056","Aspronema cochabambae",-5.125,3.229
"1057","Aspronema dorsivittatum",-5.125,3.229
"1058","Asymblepharus alaicus",-5.125,3.229
"1059","Asymblepharus eremchenkoi",-5.125,3.229
"1060","Asymblepharus himalayanus",-5.125,3.229
"1061","Asymblepharus ladacensis",-5.125,3.229
"1062","Asymblepharus mahabharatus",-5.125,3.229
"1063","Asymblepharus nepalensis",-5.125,3.229
"1064","Asymblepharus sikimmensis",-5.125,3.229
"1065","Asymblepharus tragbulense",-5.125,3.229
"1066","Ateuchosaurus chinensis",-5.125,3.229
"1067","Ateuchosaurus pellopleurus",-5.125,3.229
"1068","Atlantolacerta andreanskyi",-4.543,2.951
"1069","Aurivela longicauda",-4.747,3.11
"1070","Aurivela tergolaevigata",-4.747,3.11
"1071","Australolacerta australis",-4.543,2.951
"1072","Bachia barbouri",-4.207,2.3
"1073","Bachia bicolor",-4.207,2.471
"1074","Bachia blairi",-4.207,2.471
"1075","Bachia bresslaui",-4.207,2.471
"1076","Bachia cacerensis",-4.207,2.471
"1077","Bachia didactyla",-4.207,2.471
"1078","Bachia dorbignyi",-4.207,2.471
"1079","Bachia flavescens",-4.207,2.471
"1080","Bachia geralista",-4.207,2.471
"1081","Bachia guianensis",-4.207,2.471
"1082","Bachia heteropa",-4.207,2.471
"1083","Bachia huallagana",-4.207,2.471
"1084","Bachia intermedia",-4.207,2.471
"1085","Bachia micromela",-4.207,2.471
"1086","Bachia oxyrhina",-4.207,2.3
"1087","Bachia pallidiceps",-4.207,2.471
"1088","Bachia panoplia",-4.207,2.471
"1089","Bachia peruana",-4.207,2.471
"1090","Bachia psamophila",-4.207,2.471
"1091","Bachia pyburni",-4.207,2.471
"1092","Bachia remota",-4.207,2.471
"1093","Bachia scaea",-4.207,2.471
"1094","Bachia scolecoides",-4.207,2.471
"1095","Bachia talpa",-4.207,2.471
"1096","Bachia trisanale",-4.207,2.3
"1097","Baikia africana",-8.647,4.007
"1098","Barisia ciliaris",-5.765,3.48
"1099","Barisia herrerae",-5.765,3.48
"1100","Barisia imbricata",-5.765,3.48
"1101","Barisia jonesi",-5.765,3.48
"1102","Barisia levicollis",-5.765,3.48
"1103","Barisia planifrons",-5.765,3.48
"1104","Barisia rudicollis",-5.765,3.48
